year,municipality_nis_code,Gemiddeld_inkomen_per_aangifte,Mediaan_inkomen_per_aangifte,Gemiddeld_inkomen_per_inwoner,Interkwartiel_verschil,Interkwartiele_coefficient,Interkwartiele_assymmetrie,Welvaartsindex
2005,82032,20997,16852,11982,17762,105.4,20.96,88.02
2005,82036,23263,18397,11799,20728,112.67,20.17,86.68
2005,82037,21340,17281,11330,18712,108.28,19.54,83.23
2005,82038,22042,16750,12146,18186,108.57,29.51,89.23
2005,83000,21353,16758,11688,17636,105.24,22.41,85.86
2005,83012,20406,15832,11647,16547,104.51,25.76,85.56
2005,83013,21269,16639,11530,18584,111.69,25.5,84.7
2005,83028,21479,17150,11472,17329,101.04,18.15,84.27
2005,83031,19439,14629,11084,15614,106.73,28.71,81.42
2005,83034,22253,17637,11861,18367,104.14,20.96,87.13
2005,83040,22516,17903,11948,19140,106.91,23.04,87.77
2005,83044,19577,15354,11121,16431,107.01,23.55,81.69
2005,83049,21805,17791,12048,20772,116.75,19.84,88.5
2005,83055,21690,16703,11908,18014,107.85,23.09,87.47
2005,84000,21956,17077,12032,18248,106.86,23.28,88.39
2005,84009,21031,16689,11857,17569,105.27,22.63,87.1
2005,84010,19433,14730,11222,14875,100.99,31.39,82.44
2005,84016,19939,15840,11052,14701,92.8,25.89,81.19
